"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 04 11:51:20 UTC 2024","Thu Jan 04 11:51:25 UTC 2024","4219","All Test Suite","D:/Automation/Automation_Framework","testcase.LoginPageTest","testcase.LoginPageTest","loginTest","loginTest",""
"passed","Thu Jan 04 11:51:30 UTC 2024","Thu Jan 04 11:51:32 UTC 2024","1833","All Test Suite","D:/Automation/Automation_Framework","testcase.LoginPageTest","testcase.LoginPageTest","loginTest","loginTest",""
"passed","Thu Jan 04 11:51:03 UTC 2024","Thu Jan 04 11:51:07 UTC 2024","3600","All Test Suite","D:/Automation/Automation_Framework","testcase.LoginPageTest","testcase.LoginPageTest","resetPassword","resetPassword",""
"passed","Thu Jan 04 11:51:12 UTC 2024","Thu Jan 04 11:51:15 UTC 2024","3373","All Test Suite","D:/Automation/Automation_Framework","testcase.LoginPageTest","testcase.LoginPageTest","resetPassword","resetPassword",""
